index	label	hemisphere
320	7Networks_RH_Limbic_OFC_2	RH
321	7Networks_RH_Limbic_OFC_3	RH
322	7Networks_RH_Limbic_OFC_4	RH
323	7Networks_RH_Limbic_OFC_5	RH
324	7Networks_RH_Limbic_OFC_6	RH
325	7Networks_RH_Limbic_TempPole_1	RH
326	7Networks_RH_Limbic_TempPole_2	RH
327	7Networks_RH_Limbic_TempPole_3	RH
328	7Networks_RH_Limbic_TempPole_4	RH
329	7Networks_RH_Limbic_TempPole_5	RH
330	7Networks_RH_Limbic_TempPole_6	RH
331	7Networks_RH_Limbic_TempPole_7	RH
332	7Networks_RH_Cont_Par_1	RH
333	7Networks_RH_Cont_Par_2	RH
334	7Networks_RH_Cont_Par_3	RH
335	7Networks_RH_Cont_Par_4	RH
336	7Networks_RH_Cont_Par_5	RH
337	7Networks_RH_Cont_Par_6	RH
338	7Networks_RH_Cont_Temp_1	RH
339	7Networks_RH_Cont_Temp_2	RH
340	7Networks_RH_Cont_PFCv_1	RH
341	7Networks_RH_Cont_PFCl_1	RH
342	7Networks_RH_Cont_PFCl_2	RH
343	7Networks_RH_Cont_PFCl_3	RH
344	7Networks_RH_Cont_PFCl_4	RH
345	7Networks_RH_Cont_PFCl_5	RH
346	7Networks_RH_Cont_PFCl_6	RH
347	7Networks_RH_Cont_PFCl_7	RH
348	7Networks_RH_Cont_PFCl_8	RH
349	7Networks_RH_Cont_PFCl_9	RH
350	7Networks_RH_Cont_PFCl_10	RH
351	7Networks_RH_Cont_PFCl_11	RH
352	7Networks_RH_Cont_PFCl_12	RH
353	7Networks_RH_Cont_PFCl_13	RH
354	7Networks_RH_Cont_PFCl_14	RH
355	7Networks_RH_Cont_PFCl_15	RH
356	7Networks_RH_Cont_pCun_1	RH
357	7Networks_RH_Cont_pCun_2	RH
358	7Networks_RH_Cont_Cing_1	RH
359	7Networks_RH_Cont_Cing_2	RH
360	7Networks_RH_Cont_PFCmp_1	RH
361	7Networks_RH_Cont_PFCmp_2	RH
362	7Networks_RH_Default_Par_1	RH
363	7Networks_RH_Default_Par_2	RH
364	7Networks_RH_Default_Par_3	RH
365	7Networks_RH_Default_Par_4	RH
366	7Networks_RH_Default_Par_5	RH
367	7Networks_RH_Default_Temp_1	RH
368	7Networks_RH_Default_Temp_2	RH
369	7Networks_RH_Default_Temp_3	RH
370	7Networks_RH_Default_Temp_4	RH
371	7Networks_RH_Default_Temp_5	RH
372	7Networks_RH_Default_Temp_6	RH
373	7Networks_RH_Default_Temp_7	RH
374	7Networks_RH_Default_Temp_8	RH
375	7Networks_RH_Default_PFCv_1	RH
376	7Networks_RH_Default_PFCv_2	RH
377	7Networks_RH_Default_PFCv_3	RH
378	7Networks_RH_Default_PFCv_4	RH
379	7Networks_RH_Default_PFCdPFCm_1	RH
380	7Networks_RH_Default_PFCdPFCm_2	RH
381	7Networks_RH_Default_PFCdPFCm_3	RH
382	7Networks_RH_Default_PFCdPFCm_4	RH
383	7Networks_RH_Default_PFCdPFCm_5	RH
384	7Networks_RH_Default_PFCdPFCm_6	RH
385	7Networks_RH_Default_PFCdPFCm_7	RH
386	7Networks_RH_Default_PFCdPFCm_8	RH
387	7Networks_RH_Default_PFCdPFCm_9	RH
388	7Networks_RH_Default_PFCdPFCm_10	RH
389	7Networks_RH_Default_PFCdPFCm_11	RH
390	7Networks_RH_Default_PFCdPFCm_12	RH
391	7Networks_RH_Default_PFCdPFCm_13	RH
392	7Networks_RH_Default_pCunPCC_1	RH
393	7Networks_RH_Default_pCunPCC_2	RH
394	7Networks_RH_Default_pCunPCC_3	RH
395	7Networks_RH_Default_pCunPCC_4	RH
396	7Networks_RH_Default_pCunPCC_5	RH
397	7Networks_RH_Default_pCunPCC_6	RH
398	7Networks_RH_Default_pCunPCC_7	RH
399	7Networks_RH_Default_pCunPCC_8	RH
400	7Networks_RH_Default_pCunPCC_9	RH
