Index	Label	Hemisphere
217	17Networks_RH_VisPeri_ExStrInf_5	RH
218	17Networks_RH_VisPeri_StriCal_1	RH
219	17Networks_RH_VisPeri_StriCal_2	RH
220	17Networks_RH_VisPeri_ExStrSup_1	RH
221	17Networks_RH_VisPeri_ExStrSup_2	RH
222	17Networks_RH_VisPeri_ExStrSup_3	RH
223	17Networks_RH_VisPeri_ExStrSup_4	RH
224	17Networks_RH_SomMotA_1	RH
225	17Networks_RH_SomMotA_2	RH
226	17Networks_RH_SomMotA_3	RH
227	17Networks_RH_SomMotA_4	RH
228	17Networks_RH_SomMotA_5	RH
229	17Networks_RH_SomMotA_6	RH
230	17Networks_RH_SomMotA_7	RH
231	17Networks_RH_SomMotA_8	RH
232	17Networks_RH_SomMotA_9	RH
233	17Networks_RH_SomMotA_10	RH
234	17Networks_RH_SomMotA_11	RH
235	17Networks_RH_SomMotA_12	RH
236	17Networks_RH_SomMotA_13	RH
237	17Networks_RH_SomMotA_14	RH
238	17Networks_RH_SomMotA_15	RH
239	17Networks_RH_SomMotA_16	RH
240	17Networks_RH_SomMotA_17	RH
241	17Networks_RH_SomMotA_18	RH
242	17Networks_RH_SomMotA_19	RH
243	17Networks_RH_SomMotA_20	RH
244	17Networks_RH_SomMotB_Aud_1	RH
245	17Networks_RH_SomMotB_Aud_2	RH
246	17Networks_RH_SomMotB_Ins_1	RH
247	17Networks_RH_SomMotB_S2_1	RH
248	17Networks_RH_SomMotB_S2_2	RH
249	17Networks_RH_SomMotB_Aud_3	RH
250	17Networks_RH_SomMotB_S2_3	RH
251	17Networks_RH_SomMotB_S2_4	RH
252	17Networks_RH_SomMotB_S2_5	RH
253	17Networks_RH_SomMotB_S2_6	RH
254	17Networks_RH_SomMotB_S2_7	RH
255	17Networks_RH_SomMotB_S2_8	RH
256	17Networks_RH_SomMotB_Cent_1	RH
257	17Networks_RH_SomMotB_Cent_2	RH
258	17Networks_RH_SomMotB_Cent_3	RH
259	17Networks_RH_DorsAttnA_TempOcc_1	RH
260	17Networks_RH_DorsAttnA_TempOcc_2	RH
261	17Networks_RH_DorsAttnA_TempOcc_3	RH
262	17Networks_RH_DorsAttnA_ParOcc_1	RH
263	17Networks_RH_DorsAttnA_ParOcc_2	RH
264	17Networks_RH_DorsAttnA_ParOcc_3	RH
265	17Networks_RH_DorsAttnA_SPL_1	RH
266	17Networks_RH_DorsAttnA_SPL_2	RH
267	17Networks_RH_DorsAttnA_SPL_3	RH
268	17Networks_RH_DorsAttnA_SPL_4	RH
269	17Networks_RH_DorsAttnA_SPL_5	RH
270	17Networks_RH_DorsAttnA_SPL_6	RH
271	17Networks_RH_DorsAttnA_SPL_7	RH
272	17Networks_RH_DorsAttnA_SPL_8	RH
273	17Networks_RH_DorsAttnB_TempOcc_1	RH
274	17Networks_RH_DorsAttnB_PostC_1	RH
275	17Networks_RH_DorsAttnB_PostC_2	RH
276	17Networks_RH_DorsAttnB_PostC_3	RH
277	17Networks_RH_DorsAttnB_PostC_4	RH
278	17Networks_RH_DorsAttnB_PostC_5	RH
279	17Networks_RH_DorsAttnB_PostC_6	RH
280	17Networks_RH_DorsAttnB_PostC_7	RH
281	17Networks_RH_DorsAttnB_PostC_8	RH
282	17Networks_RH_DorsAttnB_FEF_1	RH
283	17Networks_RH_DorsAttnB_FEF_2	RH
284	17Networks_RH_DorsAttnB_FEF_3	RH
285	17Networks_RH_SalVentAttnA_ParOper_1	RH
286	17Networks_RH_SalVentAttnA_ParOper_2	RH
287	17Networks_RH_SalVentAttnA_ParOper_3	RH
288	17Networks_RH_SalVentAttnA_PrC_1	RH
289	17Networks_RH_SalVentAttnA_Ins_1	RH
290	17Networks_RH_SalVentAttnA_Ins_2	RH
291	17Networks_RH_SalVentAttnA_Ins_3	RH
292	17Networks_RH_SalVentAttnA_Ins_4	RH
293	17Networks_RH_SalVentAttnA_FrOper_1	RH
294	17Networks_RH_SalVentAttnA_FrOper_2	RH
295	17Networks_RH_SalVentAttnA_FrOper_3	RH
296	17Networks_RH_SalVentAttnA_FrMed_1	RH
297	17Networks_RH_SalVentAttnA_ParMed_1	RH
298	17Networks_RH_SalVentAttnA_ParMed_2	RH
299	17Networks_RH_SalVentAttnA_FrMed_2	RH
300	17Networks_RH_SalVentAttnA_ParMed_3	RH
301	17Networks_RH_SalVentAttnA_ParMed_4	RH
302	17Networks_RH_SalVentAttnA_FrMed_3	RH
303	17Networks_RH_SalVentAttnA_FrMed_4	RH
304	17Networks_RH_SalVentAttnB_IPL_1	RH
305	17Networks_RH_SalVentAttnB_PFClv_1	RH
306	17Networks_RH_SalVentAttnB_PFCl_1	RH
307	17Networks_RH_SalVentAttnB_PFCl_2	RH
308	17Networks_RH_SalVentAttnB_PFCl_3	RH
309	17Networks_RH_SalVentAttnB_Ins_1	RH
310	17Networks_RH_SalVentAttnB_Ins_2	RH
311	17Networks_RH_SalVentAttnB_PFCmp_1	RH
312	17Networks_RH_SalVentAttnB_PFCmp_2	RH
313	17Networks_RH_LimbicB_OFC_1	RH
314	17Networks_RH_LimbicB_OFC_2	RH
315	17Networks_RH_LimbicB_OFC_3	RH
316	17Networks_RH_LimbicB_OFC_4	RH
317	17Networks_RH_LimbicB_OFC_5	RH
318	17Networks_RH_LimbicB_OFC_6	RH
319	17Networks_RH_LimbicA_TempPole_1	RH
320	17Networks_RH_LimbicA_TempPole_2	RH
321	17Networks_RH_LimbicA_TempPole_3	RH
322	17Networks_RH_LimbicA_TempPole_4	RH
323	17Networks_RH_LimbicA_TempPole_5	RH
324	17Networks_RH_LimbicA_TempPole_6	RH
325	17Networks_RH_ContA_IPS_1	RH
326	17Networks_RH_ContA_IPS_2	RH
327	17Networks_RH_ContA_IPS_3	RH
328	17Networks_RH_ContA_IPS_4	RH
329	17Networks_RH_ContA_PFCd_1	RH
330	17Networks_RH_ContA_PFCl_1	RH
331	17Networks_RH_ContA_PFCl_2	RH
332	17Networks_RH_ContA_PFCl_3	RH
333	17Networks_RH_ContA_PFCl_4	RH
334	17Networks_RH_ContA_PFCl_5	RH
335	17Networks_RH_ContA_Cingm_1	RH
336	17Networks_RH_ContB_Temp_1	RH
337	17Networks_RH_ContB_Temp_2	RH
338	17Networks_RH_ContB_IPL_1	RH
339	17Networks_RH_ContB_IPL_2	RH
340	17Networks_RH_ContB_IPL_3	RH
341	17Networks_RH_ContB_IPL_4	RH
342	17Networks_RH_ContB_PFCld_1	RH
343	17Networks_RH_ContB_PFCld_2	RH
344	17Networks_RH_ContB_PFCld_3	RH
345	17Networks_RH_ContB_PFCld_4	RH
346	17Networks_RH_ContB_PFClv_1	RH
347	17Networks_RH_ContB_PFClv_2	RH
348	17Networks_RH_ContB_PFClv_3	RH
349	17Networks_RH_ContB_PFClv_4	RH
350	17Networks_RH_ContB_PFCmp_1	RH
